instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_EQ|INE0ORS01017,17132,PENTAGON,PENTAGON RUBBER LIMITED,114.0,,,0.05,1000,EQUITY,,NSE_EQ
NSE_EQ|INE925S01012,11251,PERFECT,PERFECT INFRAENGINEER LTD,29.1,,,0.05,3000,EQUITY,,NSE_EQ
NSE_EQ|INE262H01021,18365,PERSISTENT,PERSISTENT SYSTEMS LTD,5249.75,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE347G01014,11351,PETRONET,PETRONET LNG LIMITED,364.1,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE134E01011,14299,PFC,POWER FIN CORP LTD.,555.3,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE182A01018,2643,PFIZER,PFIZER LTD,6159.05,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE367G01038,13500,PFOCUS,PRIME FOCUS LIMITED,142.29,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE560K01014,22602,PFS,PTC INDIA FIN SERV LTD,56.41,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE457L01029,25358,PGEL,PG ELECTROPLAST LTD,567.45,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE179A01014,2535,PGHH,P&G HYGIENE & HEALTH CARE,16184.6,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE199A01012,940,PGHL,PROCTER & GAMBLE HEALTH L,5238.6,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE940H01022,14260,PGIL,PEARL GLOBAL IND LIMITED,965.9,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0GGX23010,3494,PGINVIT,POWERGRID INFRA. INVITS,91.67,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0MLZ01019,11612,PHANTOMFX,PHANTOM DIGITAL EFF LTD,373.45,,,0.05,300,EQUITY,,NSE_EQ
NSE_EQ|INE211B01039,14552,PHOENIXLTD,THE PHOENIX MILLS LTD,3624.45,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE318A01026,2664,PIDILITIND,PIDILITE INDUSTRIES LTD,3214.95,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE557Z01018,15730,PIGL,POWER INSTRUMENT (G) LTD,181.02,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE603J01030,24184,PIIND,PI INDUSTRIES LTD,4501.8,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE417C01014,11445,PILANIINVS,PILANI INV & IND COR LTD,5454.85,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE600A01035,30835,PILITA,PIL ITALICA LIFESTYLE LTD,12.99,,,0.01,1,EQUITY,,NSE_EQ
